Source,Destination,Source Port,Destination Port
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
,,51390.0,443.0
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
,,443.0,51390.0
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
,,443.0,51390.0
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
192.168.1.24,66.22.243.33,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
192.168.1.1,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
192.168.1.1,192.168.1.24,,
192.168.1.24,192.168.1.1,,
192.168.1.24,192.168.1.1,,
192.168.1.24,192.168.1.1,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
66.22.243.33,192.168.1.24,,
192.168.1.1,192.168.1.24,,
,,443.0,51390.0
66.22.243.33,192.168.1.24,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
192.168.1.24,66.22.243.33,,
66.22.243.33,192.168.1.24,,
