Source,Destination,Source Port,Destination Port
,,,
,,,
,,,
,,,
,,,
192.168.1.24,192.168.1.1,,
192.168.1.1,192.168.1.24,,
192.168.1.24,192.168.1.1,,
192.168.1.1,192.168.1.24,,
,,443.0,51374.0
,,51374.0,443.0
,,51374.0,443.0
,,51374.0,443.0
,,443.0,51374.0
,,443.0,51374.0
,,51374.0,443.0
,,51374.0,443.0
,,51374.0,443.0
,,443.0,51374.0
,,51374.0,443.0
,,443.0,51374.0
,,51374.0,443.0
,,443.0,51374.0
,,443.0,51374.0
,,443.0,51374.0
,,443.0,51374.0
,,,
192.168.1.24,224.0.0.251,,
,,,
192.168.1.2,224.0.0.251,,
,,,
192.168.1.2,224.0.0.251,,
,,,
192.168.1.2,224.0.0.251,,
,,,
192.168.1.24,224.0.0.251,,
,,,
192.168.1.24,224.0.0.251,,
,,,
192.168.1.2,224.0.0.251,,
,,,
192.168.1.2,224.0.0.251,,
,,,
,,,
,,,
,,,
192.168.1.24,224.0.0.251,,
,,,
192.168.1.2,224.0.0.251,,
,,,
192.168.1.24,192.168.1.1,,
192.168.1.1,192.168.1.24,,
192.168.1.24,17.253.52.253,,
17.253.52.253,192.168.1.24,,
192.168.1.24,17.253.52.253,,
17.253.52.253,192.168.1.24,,
192.168.1.24,17.253.52.253,,
17.253.52.253,192.168.1.24,,
,,,
,,,
162.159.136.234,192.168.1.24,443.0,51218.0
192.168.1.24,162.159.136.234,51218.0,443.0
,,,
,,,
162.159.136.234,192.168.1.24,443.0,51218.0
192.168.1.24,162.159.136.234,51218.0,443.0
192.168.1.2,224.0.0.251,,
192.168.1.2,224.0.0.251,,
,,,
162.159.136.234,192.168.1.24,443.0,51218.0
192.168.1.24,162.159.136.234,51218.0,443.0
,,,
192.168.1.2,224.0.0.251,,
,,,
192.168.1.2,224.0.0.251,,
,,,
162.159.136.234,192.168.1.24,443.0,51218.0
192.168.1.24,162.159.136.234,51218.0,443.0
,,,
192.168.1.24,162.159.136.234,51218.0,443.0
162.159.136.234,192.168.1.24,443.0,51218.0
162.159.136.234,192.168.1.24,443.0,51218.0
192.168.1.24,162.159.136.234,51218.0,443.0
162.159.136.234,192.168.1.24,443.0,51218.0
192.168.1.24,162.159.136.234,51218.0,443.0
192.168.1.2,224.0.0.251,,
,,,
,,,
162.159.136.234,192.168.1.24,443.0,51218.0
192.168.1.24,162.159.136.234,51218.0,443.0
162.159.136.234,192.168.1.24,443.0,51218.0
192.168.1.24,162.159.136.234,51218.0,443.0
162.159.136.234,192.168.1.24,443.0,51218.0
192.168.1.24,162.159.136.234,51218.0,443.0
,,,
162.159.136.234,192.168.1.24,443.0,51218.0
192.168.1.24,162.159.136.234,51218.0,443.0
162.159.136.234,192.168.1.24,443.0,51218.0
192.168.1.24,162.159.136.234,51218.0,443.0
162.159.136.234,192.168.1.24,443.0,51218.0
192.168.1.24,162.159.136.234,51218.0,443.0
,,,
,,,
162.159.136.234,192.168.1.24,443.0,51218.0
192.168.1.24,162.159.136.234,51218.0,443.0
,,,
,,,
,,,
,,,
0.0.0.0,255.255.255.255,,
,,,
,,,
,,,
192.168.1.24,192.168.1.1,,
192.168.1.24,192.168.1.1,,
